id_number,Headline,URL,Author,Published
0,T-Mobile will let you try its network free for three months,https://www.theverge.com/2022/8/31/23329133/t-mobile-app-network-pass-easy-switch-esim,Allison Johnson,"
August31
"
1,Congress presses big crypto exchanges for details on how they’re fighting scams,https://www.theverge.com/2022/8/31/23330623/congress-coinbase-binance-ftx-cryptocurrency-scams,Emma Roth,"
August31
"
2,A ‘high severity’ TikTok vulnerability allowed one-click account hijacking,https://www.theverge.com/2022/8/31/23329662/tiktok-vulnerability-microsoft-one-click-exploit-high-severity,Corin Faife,"
August31
"
3,Now you can watch Paramount Plus and Showtime in a single app,https://www.theverge.com/2022/8/31/23329389/paramount-plus-showtime-streaming-app-viacom,Jasmine Hicks,"
August31
"
4,Tado’s smart thermostat can now heat your home when prices are cheapest,https://www.theverge.com/2022/8/31/23330324/tado-balance-smart-thermostat-subscription-usage-energy-price,Jon Porter,"
August31
"
5,Nanoleaf’s latest sale drops its colorful smart light starter kits to as low as $50,https://www.theverge.com/good-deals/2022/8/31/23328975/nanoleaf-shapes-lines-shokz-openrun-lenovo-thinkpad-amazon-echo-buds-samsung-chromebook-deal-sale,Sheena Vasani,"
August31
"
6,Crypto.com mistakenly sent a customer $7.2 million instead of a $68 refund,https://www.theverge.com/2022/8/31/23330458/crypto-dot-com-typo-mistake-refund-audit,Emma Roth,"
August31
"
7,Omicron-specific vaccine boosters get FDA sign-off,https://www.theverge.com/2022/8/31/23316414/omicron-vaccine-boosters-pfizer-moderna-fda-covid-19,Nicole Wetsman,"
August31
"
8,The open elevator door button puts kindness at our fingertips,https://www.theverge.com/2022/8/31/23318937/open-elevator-door-button-kindness,Mitchell Clark,"
August31
"
9,"How to order free rapid COVID tests from the US government [Update: as of this Friday, you can’t]",https://www.theverge.com/22889745/rapid-covid-tests-free-website-how-to,Barbara Krasnoff,"
August31
"
10,Snap is canceling several projects and laying off 20 percent of employees,https://www.theverge.com/2022/8/31/23330123/snap-layoffs-announced-original-shows-canceled-games-mini-apps,Alex Heath,"
August31
"
11,Oppo is bringing its Reno 8 midrange series to Europe,https://www.theverge.com/2022/8/31/23329591/oppo-reno-8-pro-light-marisilicon-x-80w-charging,Allison Johnson,"
August31
"
12,"Bang & Olufsen’s motorized TV stand and Atmos soundbar combo costs nearly $8,000",https://www.theverge.com/2022/8/31/23330454/bang-and-olufsen-beosound-theatre-atmos-soundbar-tv-stand,Jess Weatherbed,"
August31
"
13,Nvidia Broadcast support will make virtual green screens easier in OBS Studio,https://www.theverge.com/2022/8/31/23330379/nvidia-broadcast-virtual-green-screen-obs-studio-support,Jess Weatherbed,"
August31
"
14,What the Apple Watch Pro needs to succeed,https://www.theverge.com/2022/8/31/23323224/apple-watch-pro-wearable-smartwatch-battery,Victoria Song,"
August31
"
15,Portal 2 is the last free Xbox 360 Games with Gold title,https://www.theverge.com/2022/8/31/23330392/xbox-360-games-with-gold-portal-2-last-game,Tom Warren,"
August31
"
16,LG’s first bendable OLED TV lets you pick between flat or curved modes,https://www.theverge.com/2022/8/31/23330370/lg-oled-flex-tv-bendable-ifa-2022,Tom Warren,"
August31
"
17,Samsung adds more free channels and content to its TV Plus lineup,https://www.theverge.com/2022/8/30/23329219/samsung-tv-plus-adds-more-free-channels-content-fast-streaming,Emma Roth,"
August30
"
18,Royal Caribbean is putting SpaceX’s Starlink on its cruise ships,https://www.theverge.com/2022/8/30/23329610/royal-caribbean-spacex-starlink-cruise-ships-celebrity-silversea,Mitchell Clark,"
August30
"
